"RegionID";"RegionName";"State";"Metro";"CountyName";"SizeRank";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
24115;"Cleveland";"OH";"Cleveland";"Cuyahoga";41;55089.0;57733.0;61950.0;65292.0;68100.0;69425.0;71392.0;75000.0;79875.0;83667.0;84458.0;80125.0;72383.0;66233.0;61417.0;54650.0;53508.0;52542.0;52225.0;52042.0;51500.0
18615;"Honolulu";"HI";"Urban Honolulu";"Honolulu";42;281267.0;269650.0;262342.0;253300.0;253983.0;267575.0;290817.0;331642.0;399050.0;491233.0;550875.0;550100.0;538792.0;502483.0;508617.0;510500.0;511950.0;549433.0;582600.0;616658.0;625800.0
5983;"Minneapolis";"MN";"Minneapolis-St Paul";"Hennepin";43;80589.0;84183.0;91242.0;104500.0;125650.0;148675.0;167467.0;185575.0;201758.0;217900.0;219117.0;213058.0;199483.0;184050.0;180100.0;167475.0;165017.0;180692.0;192408.0;204342.0;216513.0
50763;"Arlington";"TX";"Dallas-Fort Worth";"Tarrant";45;0.0;91408.0;94633.0;98808.0;103483.0;106992.0;113225.0;116725.0;123683.0;128708.0;131617.0;134517.0;127250.0;119750.0;124592.0;120075.0;120008.0;124825.0;135308.0;148283.0;161600.0
54047;"Raleigh";"NC";"Raleigh";"Wake";46;127356.0;132308.0;138892.0;145425.0;150725.0;152358.0;155375.0;156100.0;159692.0;166525.0;175317.0;184692.0;186842.0;180733.0;180125.0;174517.0;174108.0;181000.0;187825.0;195683.0;205250.0
7929;"Wichita";"KS";"Wichita";"Sedgwick";47;66122.0;69117.0;77267.0;82025.0;88342.0;96992.0;99083.0;99742.0;91825.0;92067.0;92675.0;97100.0;104450.0;109192.0;103475.0;101658.0;101092.0;100042.0;105392.0;109767.0;112013.0
41176;"Tampa";"FL";"Tampa";"Hillsborough";48;61311.0;62567.0;68058.0;74667.0;81842.0;88817.0;99042.0;113775.0;132983.0;166275.0;201092.0;196675.0;161942.0;132333.0;114933.0;96883.0;98208.0;118008.0;132242.0;145600.0;159138.0
16764;"Anaheim";"CA";"Los Angeles-Long Beach-Anaheim";"Orange";49;165500.0;169267.0;135642.0;196333.0;226050.0;253367.0;294542.0;353867.0;456567.0;554817.0;608683.0;586642.0;481725.0;381917.0;375408.0;354792.0;358567.0;419967.0;468317.0;500925.0;530813.0
47568;"Santa Ana";"CA";"Los Angeles-Long Beach-Anaheim";"Orange";50;143156.0;147850.0;117350.0;168117.0;190700.0;221350.0;260358.0;317308.0;418758.0;527983.0;605733.0;585950.0;457242.0;307708.0;311292.0;301358.0;311958.0;368842.0;408542.0;441350.0;463800.0
16846;"Aurora";"CO";"Denver";"Arapahoe";51;108978.0;114525.0;122817.0;136125.0;156350.0;176192.0;182258.0;185600.0;186242.0;187542.0;184792.0;178442.0;162383.0;149242.0;153417.0;144883.0;147958.0;172833.0;192825.0;226617.0;254700.0
6891;"Saint Louis";"MO";"St. Louis";"Saint Louis City";52;47822.0;52033.0;56550.0;62042.0;68217.0;77042.0;85708.0;98417.0;109583.0;117842.0;126992.0;127783.0;119200.0;114050.0;112625.0;103342.0;95908.0;94117.0;94500.0;98583.0;107113.0
26529;"Pittsburgh";"PA";"Pittsburgh";"Allegheny";53;51300.0;52042.0;54633.0;56717.0;58325.0;60933.0;64975.0;66858.0;69783.0;73092.0;74842.0;78117.0;80817.0;80425.0;84367.0;84467.0;83667.0;86550.0;95542.0;102850.0;111113.0
47401;"Riverside";"CA";"Riverside";"Riverside";54;105678.0;113008.0;122325.0;129925.0;140658.0;157683.0;181333.0;217100.0;290492.0;361875.0;415283.0;399208.0;332133.0;232692.0;205358.0;197433.0;202392.0;241083.0;284267.0;304267.0;326288.0
12562;"Marietta";"GA";"Atlanta";"Cobb";55;127556.0;133508.0;141367.0;153083.0;164267.0;173042.0;179317.0;185742.0;192475.0;203542.0;214567.0;218525.0;213767.0;196542.0;191600.0;179375.0;177717.0;187092.0;205692.0;223000.0;238338.0
23482;"Anchorage";"AK";"Anchorage";"Anchorage";56;0.0;0.0;74067.0;176150.0;178075.0;186783.0;198567.0;210483.0;226308.0;255075.0;288408.0;300783.0;296183.0;272317.0;259608.0;260133.0;260008.0;268900.0;279250.0;288317.0;294350.0
3506;"Bakersfield";"CA";"Bakersfield";"Kern";57;99800.0;101867.0;101350.0;104358.0;108567.0;116400.0;126975.0;148833.0;192158.0;268975.0;306117.0;271075.0;210500.0;164258.0;148808.0;137808.0;141258.0;170617.0;198717.0;208642.0;211038.0
20313;"Saint Paul";"MN";"Minneapolis-St Paul";"Ramsey";58;76078.0;80775.0;86650.0;96567.0;115075.0;137025.0;154917.0;171133.0;182767.0;195908.0;200033.0;190258.0;156458.0;143625.0;140842.0;126492.0;130850.0;143025.0;155858.0;165425.0;173663.0
34303;"Toledo";"OH";"Toledo";"Lucas";59;52333.0;55417.0;58917.0;63417.0;67683.0;72433.0;75967.0;80942.0;82917.0;84042.0;83817.0;81342.0;76758.0;70733.0;65092.0;59592.0;55367.0;53792.0;55342.0;56208.0;57163.0
